Measurer,Date,Block,ID,Stem length,Stem count,Damage
Beatrice ,20/05/18,M2,1,12,6,0
Beatrice ,20/05/18,M2,2,23,4,0
Beatrice ,20/05/18,M2,3,13,7,0
Beatrice ,20/05/18,M2,4,8,9,0
Beatrice ,20/05/18,M2,5,7,8,0
Beatrice ,20/05/18,M2,6,15,6,0
Beatrice ,20/05/18,M2,7,16,2,0
Beatrice ,20/05/18,M2,8,0,0,0
Beatrice ,20/05/18,M2,9,14,3,0
Beatrice ,20/05/18,M2,10,13.5,6,0
Beatrice ,20/05/18,M2,11,13,3,0
Beatrice ,20/05/18,M2,12,10,5,0
Beatrice ,20/05/18,M2,13,7,7,0
Beatrice ,20/05/18,M2,14,2,1,0
Beatrice ,20/05/18,M2,15,14,8,0
Beatrice ,20/05/18,M2,16,10,5,0
Beatrice ,20/05/18,M2,17,14,8,0
Beatrice ,20/05/18,M2,18,15,7,0
Beatrice ,20/05/18,M2,19,7,1,0
Beatrice ,20/05/18,M2,20,0,0,0
Beatrice ,20/05/18,M2,21,6,6,0
Beatrice ,20/05/18,M2,22,11,3,0
Beatrice ,20/05/18,M2,23,0,0,0
Beatrice ,20/05/18,M2,24,15,8,0
Beatrice ,20/05/18,M2,25,11.5,10,0
Beatrice ,20/05/18,M2,26,11.5,7,0
Beatrice ,20/05/18,M2,27,6,6,0
Beatrice ,20/05/18,M2,28,11.5,4,0
Beatrice ,20/05/18,M2,29,7.5,8,0
Beatrice ,20/05/18,M2,30,14,6,0
Beatrice ,20/05/18,M2,31,11,4,0
Beatrice ,20/05/18,M2,32,17,6,0
Beatrice ,20/05/18,M2,33,9,4,0
Beatrice ,20/05/18,M2,34,11,7,0
Beatrice ,20/05/18,M2,35,13,7,0
Beatrice ,20/05/18,M2,36,0,0,0
Beatrice ,20/05/18,M2,37,9,2,0
Beatrice ,20/05/18,M2,38,0,0,0
Beatrice ,20/05/18,M2,39,14,12,0
Beatrice ,20/05/18,M2,40,6.5,1,0
Beatrice ,20/05/18,M2,41,8.5,7,0
Beatrice ,20/05/18,M2,42,8,6,0
Beatrice ,20/05/18,M2,43,5,7,0
Beatrice ,20/05/18,M2,44,9,10,0
Beatrice ,20/05/18,M2,45,12.5,11,0
Beatrice ,20/05/18,M2,46,12,8,0
Beatrice ,20/05/18,M2,47,12,5,0
Beatrice ,20/05/18,M2,48,11.5,5,0
Beatrice ,20/05/18,M2,49,12.5,4,0
Beatrice ,20/05/18,M2,50,6,6,0
Beatrice ,20/05/18,M2,51,9.5,9,1
Beatrice ,20/05/18,M2,52,16,9,0
Beatrice ,20/05/18,M2,53,17.5,3,0
Beatrice ,20/05/18,M2,54,11,20,0
Beatrice ,20/05/18,M2,55,9,4,0
Beatrice ,20/05/18,M2,56,13.5,11,0
Beatrice ,20/05/18,M2,57,18,3,0
Beatrice ,20/05/18,M2,58,23.5,7,0
Beatrice ,20/05/18,M2,59,9.5,15,0
Beatrice ,20/05/18,M2,60,8.5,7,0
Beatrice ,20/05/18,M2,61,10,5,1
Beatrice ,20/05/18,M2,62,19.5,2,1
Beatrice ,20/05/18,M2,63,11.5,3,0
Beatrice ,20/05/18,M2,64,12.5,8,1
Beatrice ,20/05/18,M2,65,12,15,0
Beatrice ,20/05/18,M2,66,17,10,0
Beatrice ,20/05/18,M2,67,9,3,0
Beatrice ,20/05/18,M2,68,2.5,3,0
Beatrice ,20/05/18,M2,69,0,0,0
Beatrice ,20/05/18,M2,70,0,0,0
Beatrice ,20/05/18,M2,71,5.5,15,0
Beatrice ,20/05/18,M2,72,0,0,0
Beatrice ,20/05/18,M2,73,12.5,1,0
Beatrice ,20/05/18,M2,74,6.5,5,0
Beatrice ,20/05/18,M2,75,0,0,0
Beatrice ,20/05/18,M2,76,14,6,0
Beatrice ,20/05/18,M2,77,12,6,1
